cycle,state,Candidateidentifier,Percentage_of_Vote_won_x,samplesize,daysLeft,numberSupport,pollster,Republican,Democrat,pvi,experienced
1992,North Carolina,1992NCFaircloth,50.34704726,813,-25,276,"Mason-Dixon Polling & Research Inc.",1,0,-4.257897135,0
1992,Ohio,1992OHDeWine,42.22424185,800,-142,368,"Tarrance Group",1,0,-1.573305433,1
1992,Ohio,1992OHGlenn,50.88300143,669,-56,388,"University of Akron",0,1,-1.573305433,1
1992,Arizona,1992AZSargent,31.57054262,575,-31,143,"Behavior Research Center (Rocky Mountain)",0,1,-6.847567198,0
1992,North Dakota,1992NDSydness,38.87457765,474,-211,156,"University of North Dakota",1,0,-2.697757213,0
1992,Pennsylvania,1992PASpecter,49.10295039,818,-47,441,"Mason-Dixon Polling & Research Inc.",1,0,2.732595359,1
1992,North Dakota,1992NDSydness,38.87457765,558,-39,122,"Precision Marketing",1,0,-2.697757213,0
1992,Kansas,1992KSDole,62.69678023,835,-43,459,"Kansas City Star",1,0,-2.827776264,1
1992,Oregon,1992ORPackwood,52.13937456,612,-12,306,"T-H Research",1,0,6.283532856,1
1992,Florida,1992FLGrant,34.59098521,804,-54,201,"Mason-Dixon Polling & Research Inc.",1,0,-7.351546057,0
1992,CaliforniaS,1992CASeymour,37.96344771,475,-295,180,"Field Research Corp. (Field Poll)",1,0,2.089508493,0
1992,Ohio,1992OHDeWine,42.22424185,544,-228,152,"University of Cincinnati (Ohio Poll)",1,0,-1.573305433,1
1992,Alabama,1992ALShelby,64.81801548,822,-164,501,"Mason-Dixon Polling & Research Inc.",0,1,-5.851368454,1
1992,Washington,1992WAChandler,46.00811609,600,-8,258,"Evans/McDonough",1,0,4.705227051,0
1992,Colorado,1992COCampbell,51.77676322,504,-193,241,"Talmey-Drake Research & Strategy Inc.",0,1,-0.057461639,1
1992,Arkansas,1992ARBumpers,60.17719411,802,-61,489,"Mason-Dixon Polling & Research Inc.",0,1,-3.295385279,1
1992,California,1992CABoxer,47.90378958,700,-5,357,"Greenberg Quinlan Rosner (Democracy Corps)",0,1,2.089508493,1
1992,Georgia,1992GAFowler,49.35258706,600,-64,276,"North Star Opinion Research/Ayres, McHenry & Associates",0,1,-6.303308952,1
1992,Alabama,1992ALShelby,64.81801548,813,-92,504,"Mason-Dixon Polling & Research Inc.",0,1,-5.851368454,1
1992,Alabama,1992ALShelby,64.81801548,829,-42,513,"Mason-Dixon Polling & Research Inc.",0,1,-5.851368454,1
1992,Utah,1992UTBennett,55.38307587,412,-80,193,"Penn Schoen Berland",1,0,-13.4875715,0
1992,New York,1992NYD'Amato,49.03358598,835,-57,292,"Mason-Dixon Polling & Research Inc.",1,0,5.965985317,1
1992,Arizona,1992AZMecham,10.51777395,600,-35,60,"Public Opinion Strategies",0,0,-6.847567198,0
1992,Indiana,1992INHogsett,40.70441426,825,-40,148,"Indiana University",0,1,-6.224373724,0
1992,Oregon,1992ORAuCoin,46.49968424,600,-12,228,"Griggs-Anderson Research",0,1,6.283532856,0
1992,North Carolina,1992NCFaircloth,50.34704726,651,-134,214,"Charlotte Observer",1,0,-4.257897135,0
1992,Missouri,1992MORothman-Serot,44.9257195,817,-50,269,"Mason-Dixon Polling & Research Inc.",0,1,1.90181394,0
1992,Colorado,1992COConsidine,42.70422582,504,-193,131,"Talmey-Drake Research & Strategy Inc.",1,0,-0.057461639,0
1992,South Carolina,1992SCHartnett,46.94655713,618,-8,253,"KPC Research",1,0,-8.172851311,0
1992,Indiana,1992INCoats,57.33730181,533,-52,277,"Fort Wayne Journal-Gazette",1,0,-6.224373724,1
1992,Colorado,1992COCampbell,51.77676322,400,-14,176,"Talmey-Drake Research & Strategy Inc.",0,1,-0.057461639,1
1992,Arizona,1992AZSargent,31.57054262,518,-45,170,"Arizona State University",0,1,-6.847567198,0
1992,North Carolina,1992NCSanford,46.31751304,813,-25,390,"Mason-Dixon Polling & Research Inc.",0,1,-4.257897135,0
1992,Illinois,1992ILWilliamson,43.05715208,1121,-13,381,"University of Illinois at Chicago",1,0,2.845729828,0
1992,California,1992CAHerschensohn,43.00286776,1330,-54,438,"Los Angeles Times",1,0,2.089508493,0
1992,Washington,1992WAMurray,53.99188391,451,-45,193,"Elway Research",0,1,4.705227051,1
1992,South Carolina,1992SCHollings,50.06870331,808,-46,444,"Mason-Dixon Polling & Research Inc.",0,1,-8.172851311,1
1992,Oregon,1992ORPackwood,52.13937456,602,-325,198,"Oregon Monitor",1,0,6.283532856,1
1992,Maryland,1992MDKeyes,28.97745875,818,-277,261,"Mason-Dixon Polling & Research Inc.",1,0,2.43309313,0
1992,Idaho,1992IDKempthorne,56.52153924,816,-39,375,"Mason-Dixon Polling & Research Inc.",1,0,-9.39061401,1
1992,New York,1992NYD'Amato,49.03358598,790,-78,276,"Zogby Interactive/JZ Analytics",1,0,5.965985317,1
1992,New York,1992NYD'Amato,49.03358598,824,-105,304,"Mason-Dixon Polling & Research Inc.",1,0,5.965985317,1
1992,Oklahoma,1992OKLewis,38.19076144,500,-18,155,"Cole Hargrave Snodgrass & Associates",0,1,-4.493088817,0
1992,Florida,1992FLGrant,34.59098521,826,-158,206,"Mason-Dixon Polling & Research Inc.",1,0,-7.351546057,0
1992,Indiana,1992INCoats,57.33730181,815,-16,448,"Mason-Dixon Polling & Research Inc.",1,0,-6.224373724,1
1992,North Dakota,1992NDDorgan,59.00406965,474,-211,265,"University of North Dakota",0,1,-2.697757213,1
1992,Connecticut,1992CTJohnson,38.11771636,500,-131,60,"University of Connecticut",1,0,1.313478054,0
1992,Florida,1992FLGraham,65.40458135,813,-334,536,"Mason-Dixon Polling & Research Inc.",0,1,-7.351546057,1
1992,Missouri,1992MORothman-Serot,44.9257195,800,-43,240,"Kansas City Star",0,1,1.90181394,0
1992,North DakotaS,1992NDConrad,63.22048117,502,-28,341,"University of North Dakota",0,1,-2.697757213,1
1992,Missouri,1992MORothman-Serot,44.9257195,500,-81,185,"Mellman Group",0,1,1.90181394,0
1992,Ohio,1992OHDeWine,42.22424185,931,-6,437,"University of Cincinnati (Ohio Poll)",1,0,-1.573305433,1
1992,Idaho,1992IDStallings,43.47469918,604,-34,253,"Rich Smith & Rich",0,1,-9.39061401,0
1992,Oregon,1992ORPackwood,52.13937456,600,-225,216,"Moore Information",1,0,6.283532856,1
1992,New Hampshire,1992NHGregg,48.14427601,600,-7,222,"American Research Group",1,0,-9.337984623,1
1992,New York,1992NYD'Amato,49.03358598,583,-40,250,"Marist College",1,0,5.965985317,1
1992,Arizona,1992AZMecham,10.51777395,500,-44,70,"Behavior Research Center (Rocky Mountain)",0,0,-6.847567198,0
1992,Pennsylvania,1992PAYeakel,46.33019671,1400,-6,532,"Public Opinion Strategies",0,1,2.732595359,0
1992,Alaska,1992AKSmith,38.40618404,626,-45,200,"Mason-Dixon Polling & Research Inc.",0,1,-8.265369492,0
1992,Hawaii,1992HIInouye,57.26911253,413,-215,194,"Mason-Dixon Polling & Research Inc.",0,1,8.705312058,1
1992,Indiana,1992INHogsett,40.70441426,445,-330,146,"Bill Schreiber",0,1,-6.224373724,0
1992,Georgia,1992GACoverdell,50.64741294,819,-11,286,"Mason-Dixon Polling & Research Inc.",1,0,-6.303308952,1
1992,North Carolina,1992NCSanford,46.31751304,400,-18,136,"Charlotte Observer",0,1,-4.257897135,0
1992,Illinois,1992ILWilliamson,43.05715208,775,-31,224,"Market Shares Corp.",1,0,2.845729828,0
1992,Washington,1992WAMurray,53.99188391,403,-20,153,"Elway Research",0,1,4.705227051,1
1992,Illinois,1992ILWilliamson,43.05715208,1150,-20,379,"CBS News/New York Times",1,0,2.845729828,0
1992,Maryland,1992MDKeyes,28.97745875,802,-67,232,"Mason-Dixon Polling & Research Inc.",1,0,2.43309313,0
1992,Ohio,1992OHDeWine,42.22424185,500,-37,220,"Public Opinion Strategies",1,0,-1.573305433,1
1992,Ohio,1992OHDeWine,42.22424185,691,-14,234,"University of Akron",1,0,-1.573305433,1
1992,Alabama,1992ALShelby,64.81801548,571,-22,393,"Birmingham Post-Herald",0,1,-5.851368454,1
1992,South Carolina,1992SCHollings,50.06870331,618,-8,339,"KPC Research",0,1,-8.172851311,1
1992,Idaho,1992IDStallings,43.47469918,816,-39,310,"Mason-Dixon Polling & Research Inc.",0,1,-9.39061401,0
1992,North Dakota,1992NDDorgan,59.00406965,504,-155,297,"University of North Dakota",0,1,-2.697757213,1
1992,Georgia,1992GACoverdell,50.64741294,812,-49,251,"Mason-Dixon Polling & Research Inc.",1,0,-6.303308952,1
1992,Georgia,1992GACoverdell,50.64741294,600,-64,192,"North Star Opinion Research/Ayres, McHenry & Associates",1,0,-6.303308952,1
1992,Florida,1992FLGraham,65.40458135,804,-54,442,"Mason-Dixon Polling & Research Inc.",0,1,-7.351546057,1
1992,Oregon,1992ORAuCoin,46.49968424,600,-36,240,"Griggs-Anderson Research",0,1,6.283532856,0
1992,North Dakota,1992NDSydness,38.87457765,502,-28,140,"University of North Dakota",1,0,-2.697757213,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,1000,-38,540,"Market Shares Corp.",0,1,2.845729828,1
1992,Illinois,1992ILMoseley-Braun,53.26851107,1000,-17,500,"Market Shares Corp.",0,1,2.845729828,1
1992,Arkansas,1992ARHuckabee,39.82280589,802,-61,232,"Mason-Dixon Polling & Research Inc.",1,0,-3.295385279,0
1992,Missouri,1992MORothman-Serot,44.9257195,800,-22,272,"Kansas City Star",0,1,1.90181394,0
1992,Wisconsin,1992WIFeingold,52.57013495,391,-13,172,"St. Norbert College",0,1,5.71757543,0
1992,Indiana,1992INCoats,57.33730181,803,-30,449,"Indianapolis Star",1,0,-6.224373724,1
1992,Illinois,1992ILWilliamson,43.05715208,730,-22,211,"Market Shares Corp.",1,0,2.845729828,0
1992,South Carolina,1992SCHartnett,46.94655713,800,-325,200,"Mason-Dixon Polling & Research Inc.",1,0,-8.172851311,0
1992,Wisconsin,1992WIKasten,46.00985531,600,-5,282,"Milwaukee Journal-Sentinel",1,0,5.71757543,1
1992,New Hampshire,1992NHGregg,48.14427601,400,-37,132,"Bannon Communications",1,0,-9.337984623,1
1992,Illinois,1992ILWilliamson,43.05715208,1000,-17,320,"Chicago Tribune",1,0,2.845729828,0
1992,North Dakota,1992NDSydness,38.87457765,587,-198,158,"Precision Marketing",1,0,-2.697757213,0
1992,South Dakota,1992SDHaar,32.50661445,505,-44,111,"Tom Daschle",1,0,0.707783704,0
1992,Arizona,1992AZSargent,31.57054262,708,-115,198,"Behavior Research Center (Rocky Mountain)",0,1,-6.847567198,0
1992,Oregon,1992ORAuCoin,46.49968424,600,-126,198,"Moore Information",0,1,6.283532856,0
1992,Pennsylvania,1992PAYeakel,46.33019671,424,-176,169,"Cromer Group",0,1,2.732595359,0
1992,Illinois,1992ILWilliamson,43.05715208,914,-33,210,"Richard Day Research Inc.",1,0,2.845729828,0
1992,Oklahoma,1992OKNickles,58.54933047,820,-13,483,"Mason-Dixon Polling & Research Inc.",1,0,-4.493088817,1
1992,CaliforniaS,1992CASeymour,37.96344771,837,-118,301,"Mason-Dixon Polling & Research Inc.",1,0,2.089508493,0
1992,New Hampshire,1992NHRauh,45.3263069,600,-15,216,"American Research Group",0,1,-9.337984623,0
1992,Pennsylvania,1992PASpecter,49.10295039,688,-31,282,"Millersville University",1,0,2.732595359,1
1992,North Carolina,1992NCSanford,46.31751304,651,-134,325,"Charlotte Observer",0,1,-4.257897135,0
1992,South Carolina,1992SCHollings,50.06870331,800,-325,432,"Mason-Dixon Polling & Research Inc.",0,1,-8.172851311,1
1992,Alabama,1992ALSellers,33.08501273,822,-164,139,"Mason-Dixon Polling & Research Inc.",1,0,-5.851368454,0
1992,Ohio,1992OHDeWine,42.22424185,550,-139,170,"Paul Werth Associates",1,0,-1.573305433,1
1992,Idaho,1992IDKempthorne,56.52153924,604,-34,271,"Rich Smith & Rich",1,0,-9.39061401,1
1992,Ohio,1992OHDeWine,42.22424185,598,-86,227,"Gordon S. Black Corp.",1,0,-1.573305433,1
1992,Arizona,1992AZMcCain,55.81523403,410,-66,213,"Arizona State University",1,0,-6.847567198,1
1992,California,1992CAHerschensohn,43.00286776,801,-7,280,"Boxer",1,0,2.089508493,0
1992,Arizona,1992AZMcCain,55.81523403,705,-213,401,"Behavior Research Center (Rocky Mountain)",1,0,-6.847567198,1
1992,Oregon,1992ORAuCoin,46.49968424,806,-36,346,"Mason-Dixon Polling & Research Inc.",0,1,6.283532856,0
1992,Oklahoma,1992OKLewis,38.19076144,805,-81,209,"Mason-Dixon Polling & Research Inc.",0,1,-4.493088817,0
1992,Pennsylvania,1992PASpecter,49.10295039,552,-26,281,"Pittsburgh Post-Gazette",1,0,2.732595359,1
1992,Connecticut,1992CTJohnson,38.11771636,500,-357,160,"University of Connecticut",1,0,1.313478054,0
1992,Arizona,1992AZMcCain,55.81523403,499,-31,239,"Arizona State University",1,0,-6.847567198,1
1992,Wisconsin,1992WIFeingold,52.57013495,800,-11,384,"Milwaukee Journal-Sentinel",0,1,5.71757543,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,1000,-54,580,"Market Shares Corp.",0,1,2.845729828,1
1992,California,1992CAHerschensohn,43.00286776,475,-295,166,"Field Research Corp. (Field Poll)",1,0,2.089508493,0
1992,Indiana,1992INHogsett,40.70441426,827,-190,206,"Mason-Dixon Polling & Research Inc.",0,1,-6.224373724,0
1992,Georgia,1992GAFowler,49.35258706,819,-11,417,"Mason-Dixon Polling & Research Inc.",0,1,-6.303308952,1
1992,Pennsylvania,1992PAYeakel,46.33019671,688,-31,268,"Millersville University",0,1,2.732595359,0
1992,New York,1992NYD'Amato,49.03358598,827,-31,355,"Mason-Dixon Polling & Research Inc.",1,0,5.965985317,1
1992,Pennsylvania,1992PAYeakel,46.33019671,824,-130,362,"Mason-Dixon Polling & Research Inc.",0,1,2.732595359,0
1992,Pennsylvania,1992PAYeakel,46.33019671,891,-10,320,"Millersville University",0,1,2.732595359,0
1992,Missouri,1992MORothman-Serot,44.9257195,480,-52,163,"St. Louis Post-Dispatch",0,1,1.90181394,0
1992,Illinois,1992ILWilliamson,43.05715208,1000,-54,240,"Market Shares Corp.",1,0,2.845729828,0
1992,Wisconsin,1992WIKasten,46.00985531,800,-50,304,"Mason-Dixon Polling & Research Inc.",1,0,5.71757543,1
1992,North Carolina,1992NCFaircloth,50.34704726,818,-8,302,"Mason-Dixon Polling & Research Inc.",1,0,-4.257897135,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,775,-31,356,"Market Shares Corp.",0,1,2.845729828,1
1992,New Hampshire,1992NHGregg,48.14427601,808,-64,355,"Mason-Dixon Polling & Research Inc.",1,0,-9.337984623,1
1992,Wisconsin,1992WIKasten,46.00985531,407,-40,134,"St. Norbert College",1,0,5.71757543,1
1992,North Carolina,1992NCFaircloth,50.34704726,832,-191,316,"Mason-Dixon Polling & Research Inc.",1,0,-4.257897135,0
1992,North Carolina,1992NCFaircloth,50.34704726,810,-272,243,"Mason-Dixon Polling & Research Inc.",1,0,-4.257897135,0
1992,Washington,1992WAChandler,46.00811609,403,-20,145,"Elway Research",1,0,4.705227051,0
1992,North Carolina,1992NCSanford,46.31751304,818,-8,368,"Mason-Dixon Polling & Research Inc.",0,1,-4.257897135,0
1992,Illinois,1992ILWilliamson,43.05715208,1000,-73,230,"Market Shares Corp.",1,0,2.845729828,0
1992,Alaska,1992AKSmith,38.40618404,500,-34,170,"Cromer Group",0,1,-8.265369492,0
1992,New Hampshire,1992NHRauh,45.3263069,808,-64,307,"Mason-Dixon Polling & Research Inc.",0,1,-9.337984623,0
1992,New Hampshire,1992NHRauh,45.3263069,827,-319,264,"Mason-Dixon Polling & Research Inc.",0,1,-9.337984623,0
1992,North Carolina,1992NCSanford,46.31751304,810,-272,413,"Mason-Dixon Polling & Research Inc.",0,1,-4.257897135,0
1992,Oregon,1992ORAuCoin,46.49968424,600,-34,245,"T-H Research",0,1,6.283532856,0
1992,North Carolina,1992NCSanford,46.31751304,609,-37,274,"Raleigh News & Observer",0,1,-4.257897135,0
1992,Washington,1992WAMurray,53.99188391,600,-40,300,"Fairbank, Maslin, Maullin, Metz & Associates",0,1,4.705227051,1
1992,Ohio,1992OHGlenn,50.88300143,2035,-64,997,"Columbus Dispatch",0,1,-1.573305433,1
1992,Connecticut,1992CTJohnson,38.11771636,519,-35,160,"University of Connecticut",1,0,1.313478054,0
1992,Ohio,1992OHDeWine,42.22424185,565,-18,237,"University of Cincinnati (Ohio Poll)",1,0,-1.573305433,1
1992,Kentucky,1992KYWilliams,35.81178458,584,-49,116,"Louisville Courier-Journal",1,0,-1.956928401,1
1992,Wisconsin,1992WIFeingold,52.57013495,503,-10,241,"Garin-Hart-Yang Research Group",0,1,5.71757543,0
1992,South Dakota,1992SDDaschle,64.90231543,823,-259,518,"Mason-Dixon Polling & Research Inc.",0,1,0.707783704,1
1992,Oregon,1992ORAuCoin,46.49968424,612,-12,263,"T-H Research",0,1,6.283532856,0
1992,Florida,1992FLGraham,65.40458135,826,-158,446,"Mason-Dixon Polling & Research Inc.",0,1,-7.351546057,1
1992,Oregon,1992ORAuCoin,46.49968424,600,-225,198,"Moore Information",0,1,6.283532856,0
1992,Georgia,1992GAFowler,49.35258706,812,-49,430,"Mason-Dixon Polling & Research Inc.",0,1,-6.303308952,1
1992,Ohio,1992OHGlenn,50.88300143,629,-181,188,"University of Akron",0,1,-1.573305433,1
1992,Pennsylvania,1992PASpecter,49.10295039,600,-30,282,"Hickman Analytics",1,0,2.732595359,1
1992,Ohio,1992OHGlenn,50.88300143,800,-142,384,"Tarrance Group",0,1,-1.573305433,1
1992,Ohio,1992OHGlenn,50.88300143,500,-37,240,"Public Opinion Strategies",0,1,-1.573305433,1
1992,Oregon,1992ORPackwood,52.13937456,600,-126,276,"Moore Information",1,0,6.283532856,1
1992,Wisconsin,1992WIKasten,46.00985531,400,-19,115,"Chamberlain Research",1,0,5.71757543,1
1992,New Hampshire,1992NHGregg,48.14427601,434,-55,177,"University of New Hampshire",1,0,-9.337984623,1
1992,South Carolina,1992SCHartnett,46.94655713,824,-119,247,"Mason-Dixon Polling & Research Inc.",1,0,-8.172851311,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,1000,-17,500,"Chicago Tribune",0,1,2.845729828,1
1992,North Dakota,1992NDDorgan,59.00406965,502,-28,326,"University of North Dakota",0,1,-2.697757213,1
1992,North Carolina,1992NCFaircloth,50.34704726,803,-74,289,"Mason-Dixon Polling & Research Inc.",1,0,-4.257897135,0
1992,Indiana,1992INHogsett,40.70441426,686,-62,192,"Hill Research Consultants",0,1,-6.224373724,0
1992,New Hampshire,1992NHGregg,48.14427601,521,-13,197,"University of New Hampshire",1,0,-9.337984623,1
1992,California,1992CAHerschensohn,43.00286776,819,-61,286,"Mason-Dixon Polling & Research Inc.",1,0,2.089508493,0
1992,Utah,1992UTBennett,55.38307587,610,-35,347,"Dan Jones & Associates",1,0,-13.4875715,0
1992,Pennsylvania,1992PASpecter,49.10295039,825,-7,363,"Mason-Dixon Polling & Research Inc.",1,0,2.732595359,1
1992,Arizona,1992AZMecham,10.51777395,410,-66,41,"Arizona State University",0,0,-6.847567198,0
1992,Arizona,1992AZSargent,31.57054262,705,-213,197,"Behavior Research Center (Rocky Mountain)",0,1,-6.847567198,0
1992,Washington,1992WAMurray,53.99188391,300,-36,162,"Bellevue Journal American",0,1,4.705227051,1
1992,North Carolina,1992NCSanford,46.31751304,834,-109,458,"Mason-Dixon Polling & Research Inc.",0,1,-4.257897135,0
1992,Arizona,1992AZSargent,31.57054262,500,-44,180,"Behavior Research Center (Rocky Mountain)",0,1,-6.847567198,0
1992,Washington,1992WAChandler,46.00811609,600,-40,198,"Fairbank, Maslin, Maullin, Metz & Associates",1,0,4.705227051,0
1992,Washington,1992WAMurray,53.99188391,600,-8,288,"Evans/McDonough",0,1,4.705227051,1
1992,South Carolina,1992SCHollings,50.06870331,500,-71,215,"McLaughlin & Associates",0,1,-8.172851311,1
1992,Illinois,1992ILWilliamson,43.05715208,817,-59,196,"Mason-Dixon Polling & Research Inc.",1,0,2.845729828,0
1992,Indiana,1992INCoats,57.33730181,686,-62,418,"Hill Research Consultants",1,0,-6.224373724,1
1992,Idaho,1992IDKempthorne,56.52153924,600,-146,288,"Tarrance Group",1,0,-9.39061401,1
1992,Missouri,1992MOBond,51.88704523,835,-103,392,"Mason-Dixon Polling & Research Inc.",1,0,1.90181394,1
1992,Indiana,1992INCoats,57.33730181,827,-190,438,"Mason-Dixon Polling & Research Inc.",1,0,-6.224373724,1
1992,Missouri,1992MOBond,51.88704523,510,-15,224,"Prell Org.",1,0,1.90181394,1
1992,Connecticut,1992CTJohnson,38.11771636,616,-92,117,"Quinnipiac University",1,0,1.313478054,0
1992,North DakotaS,1992NDConrad,63.22048117,410,-40,291,"KTHI-TV",0,1,-2.697757213,1
1992,Nevada,1992NVReid,51.04993678,400,-62,204,"Public Opinion Strategies",0,1,-6.920148516,1
1992,Ohio,1992OHGlenn,50.88300143,565,-18,282,"University of Cincinnati (Ohio Poll)",0,1,-1.573305433,1
1992,Kentucky,1992KYWilliams,35.81178458,809,-41,153,"Mason-Dixon Polling & Research Inc.",1,0,-1.956928401,1
1992,Colorado,1992COCampbell,51.77676322,496,-161,252,"Talmey-Drake Research & Strategy Inc.",0,1,-0.057461639,1
1992,Oklahoma,1992OKLewis,38.19076144,811,-249,202,"Mason-Dixon Polling & Research Inc.",0,1,-4.493088817,0
1992,Arizona,1992AZMcCain,55.81523403,500,-44,270,"Behavior Research Center (Rocky Mountain)",1,0,-6.847567198,1
1992,Illinois,1992ILMoseley-Braun,53.26851107,730,-22,357,"Market Shares Corp.",0,1,2.845729828,1
1992,Pennsylvania,1992PASpecter,49.10295039,829,-197,389,"Mason-Dixon Polling & Research Inc.",1,0,2.732595359,1
1992,Colorado,1992COConsidine,42.70422582,451,-50,175,"Ciruli Associates",1,0,-0.057461639,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,823,-125,452,"Mason-Dixon Polling & Research Inc.",0,1,2.845729828,1
1992,Indiana,1992INCoats,57.33730181,445,-330,218,"Bill Schreiber",1,0,-6.224373724,1
1992,Wisconsin,1992WIKasten,46.00985531,503,-10,206,"Garin-Hart-Yang Research Group",1,0,5.71757543,1
1992,North Dakota,1992NDDorgan,59.00406965,410,-40,241,"KTHI-TV",0,1,-2.697757213,1
1992,New York,1992NYD'Amato,49.03358598,500,-355,155,"Johnson Survey Research",1,0,5.965985317,1
1992,South Carolina,1992SCHartnett,46.94655713,466,-38,181,"KPC Research",1,0,-8.172851311,0
1992,Colorado,1992COConsidine,42.70422582,501,-106,130,"Talmey-Drake Research & Strategy Inc.",1,0,-0.057461639,0
1992,Wisconsin,1992WIFeingold,52.57013495,407,-40,219,"St. Norbert College",0,1,5.71757543,0
1992,New York,1992NYD'Amato,49.03358598,1213,-10,424,"CBS News/New York Times",1,0,5.965985317,1
1992,Indiana,1992INHogsett,40.70441426,803,-30,289,"Indianapolis Star",0,1,-6.224373724,0
1992,North Carolina,1992NCFaircloth,50.34704726,400,-18,144,"Charlotte Observer",1,0,-4.257897135,0
1992,Washington,1992WAChandler,46.00811609,451,-45,153,"Elway Research",1,0,4.705227051,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,575,-26,293,"WCIA-TV",0,1,2.845729828,1
1992,Pennsylvania,1992PASpecter,49.10295039,824,-130,412,"Mason-Dixon Polling & Research Inc.",1,0,2.732595359,1
1992,Wisconsin,1992WIFeingold,52.57013495,400,-55,227,"Milwaukee Journal-Sentinel",0,1,5.71757543,0
1992,Kentucky,1992KYFord,62.88334293,584,-49,379,"Louisville Courier-Journal",0,1,-1.956928401,1
1992,New Hampshire,1992NHRauh,45.3263069,434,-55,143,"University of New Hampshire",0,1,-9.337984623,0
1992,Connecticut,1992CTDodd,58.81013574,500,-131,260,"University of Connecticut",0,1,1.313478054,1
1992,South Carolina,1992SCHartnett,46.94655713,500,-71,165,"McLaughlin & Associates",1,0,-8.172851311,0
1992,Iowa,1992IAGrassley,69.61432703,829,-123,505,"Mason-Dixon Polling & Research Inc.",1,0,9.043853023,1
1992,Oregon,1992ORPackwood,52.13937456,600,-218,245,"Griggs-Anderson Research",1,0,6.283532856,1
1992,California,1992CABoxer,47.90378958,1106,-9,486,"Field Research Corp. (Field Poll)",0,1,2.089508493,1
1992,Alabama,1992ALSellers,33.08501273,829,-42,149,"Mason-Dixon Polling & Research Inc.",1,0,-5.851368454,0
1992,Wisconsin,1992WIFeingold,52.57013495,821,-18,394,"Mason-Dixon Polling & Research Inc.",0,1,5.71757543,0
1992,California,1992CABoxer,47.90378958,801,-7,344,"Boxer",0,1,2.089508493,1
1992,Indiana,1992INCoats,57.33730181,462,-17,267,"Hill Research Consultants",1,0,-6.224373724,1
1992,Georgia,1992GACoverdell,50.64741294,809,-253,210,"Mason-Dixon Polling & Research Inc.",1,0,-6.303308952,1
1992,Colorado,1992COCampbell,51.77676322,501,-106,275,"Talmey-Drake Research & Strategy Inc.",0,1,-0.057461639,1
1992,Iowa,1992IAGrassley,69.61432703,814,-56,512,"Selzer & Co.",1,0,9.043853023,1
1992,Missouri,1992MOBond,51.88704523,500,-81,225,"Mellman Group",1,0,1.90181394,1
