cycle,state,Candidateidentifier,Percentage.of.Vote.won.x,samplesize,daysLeft,numberSupport,pollster,Republican,Democrat,pvi,experienced
1992,North Dakota,1992NDSydness,38.87457765,502,-28,140.0,University of North Dakota,1,0,-2.697757213,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,1000,-38,540.0,Market Shares Corp.,0,1,2.845729828,1
1992,Illinois,1992ILMoseley-Braun,53.26851107,1000,-17,500.0,Market Shares Corp.,0,1,2.845729828,1
1992,Arkansas,1992ARHuckabee,39.82280589,802,-61,232.0,Mason-Dixon Polling & Research Inc.,1,0,-3.2953852789999996,0
1992,Missouri,1992MORothman-Serot,44.9257195,800,-22,272.0,Kansas City Star,0,1,1.90181394,0
1992,Wisconsin,1992WIFeingold,52.57013495,391,-13,172.0,St. Norbert College,0,1,5.71757543,0
1992,Indiana,1992INCoats,57.33730181,803,-30,449.0,Indianapolis Star,1,0,-6.224373723999999,1
1992,Illinois,1992ILWilliamson,43.05715208,730,-22,211.0,Market Shares Corp.,1,0,2.845729828,0
1992,South Carolina,1992SCHartnett,46.94655713,800,-325,200.0,Mason-Dixon Polling & Research Inc.,1,0,-8.172851311,0
1992,Wisconsin,1992WIKasten,46.00985531,600,-5,282.0,Milwaukee Journal-Sentinel,1,0,5.71757543,1
1992,New Hampshire,1992NHGregg,48.14427601,400,-37,132.0,Bannon Communications,1,0,-9.337984622999999,1
1992,Illinois,1992ILWilliamson,43.05715208,1000,-17,320.0,Chicago Tribune,1,0,2.845729828,0
1992,North Dakota,1992NDSydness,38.87457765,587,-198,158.0,Precision Marketing,1,0,-2.697757213,0
1992,South Dakota,1992SDHaar,32.50661445,505,-44,111.0,Tom Daschle,1,0,0.707783704,0
1992,Arizona,1992AZSargent,31.57054262,708,-115,198.0,Behavior Research Center (Rocky Mountain),0,1,-6.847567197999999,0
1992,Oregon,1992ORAuCoin,46.49968424,600,-126,198.0,Moore Information,0,1,6.283532856,0
1992,Pennsylvania,1992PAYeakel,46.33019671,424,-176,169.0,Cromer Group,0,1,2.732595359,0
1992,Illinois,1992ILWilliamson,43.05715208,914,-33,210.0,Richard Day Research Inc.,1,0,2.845729828,0
1992,Oklahoma,1992OKNickles,58.54933047,820,-13,483.0,Mason-Dixon Polling & Research Inc.,1,0,-4.493088817,1
1992,California,1992CASeymour,37.96344771,837,-118,301.0,Mason-Dixon Polling & Research Inc.,1,0,2.0895084930000003,0
1992,New Hampshire,1992NHRauh,45.3263069,600,-15,216.0,American Research Group,0,1,-9.337984622999999,0
1992,Pennsylvania,1992PASpecter,49.10295039,688,-31,282.0,Millersville University,1,0,2.732595359,1
1992,North Carolina,1992NCSanford,46.31751304,651,-134,325.0,Charlotte Observer,0,1,-4.257897135,0
1992,South Carolina,1992SCHollings,50.06870331,800,-325,432.0,Mason-Dixon Polling & Research Inc.,0,1,-8.172851311,1
1992,Alabama,1992ALSellers,33.08501273,822,-164,139.0,Mason-Dixon Polling & Research Inc.,1,0,-5.851368454,0
1992,Ohio,1992OHDeWine,42.22424185,550,-139,170.0,Paul Werth Associates,1,0,-1.573305433,1
1992,Idaho,1992IDKempthorne,56.52153924,604,-34,271.0,Rich Smith & Rich,1,0,-9.39061401,1
1992,Ohio,1992OHDeWine,42.22424185,598,-86,227.0,Gordon S. Black Corp.,1,0,-1.573305433,1
1992,Arizona,1992AZMcCain,55.81523403,410,-66,213.0,Arizona State University,1,0,-6.847567197999999,1
1992,California,1992CAHerschensohn,43.00286776,801,-7,280.0,Boxer,1,0,2.0895084930000003,0
1992,Arizona,1992AZMcCain,55.81523403,705,-213,401.0,Behavior Research Center (Rocky Mountain),1,0,-6.847567197999999,1
1992,Oregon,1992ORAuCoin,46.49968424,806,-36,346.0,Mason-Dixon Polling & Research Inc.,0,1,6.283532856,0
1992,Oklahoma,1992OKLewis,38.19076144,805,-81,209.0,Mason-Dixon Polling & Research Inc.,0,1,-4.493088817,0
1992,Pennsylvania,1992PASpecter,49.10295039,552,-26,281.0,Pittsburgh Post-Gazette,1,0,2.732595359,1
1992,Connecticut,1992CTJohnson,38.11771636,500,-357,160.0,University of Connecticut,1,0,1.313478054,0
1992,Arizona,1992AZMcCain,55.81523403,499,-31,239.0,Arizona State University,1,0,-6.847567197999999,1
1992,Wisconsin,1992WIFeingold,52.57013495,800,-11,384.0,Milwaukee Journal-Sentinel,0,1,5.71757543,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,1000,-54,580.0,Market Shares Corp.,0,1,2.845729828,1
1992,California,1992CAHerschensohn,43.00286776,475,-295,166.0,Field Research Corp. (Field Poll),1,0,2.0895084930000003,0
1992,Indiana,1992INHogsett,40.70441426,827,-190,206.0,Mason-Dixon Polling & Research Inc.,0,1,-6.224373723999999,0
1992,Georgia,1992GAFowler,49.35258706,819,-11,417.0,Mason-Dixon Polling & Research Inc.,0,1,-6.303308952,1
1992,Pennsylvania,1992PAYeakel,46.33019671,688,-31,268.0,Millersville University,0,1,2.732595359,0
1992,New York,1992NYD'Amato,49.03358598,827,-31,355.0,Mason-Dixon Polling & Research Inc.,1,0,5.965985317,1
1992,Pennsylvania,1992PAYeakel,46.33019671,824,-130,362.0,Mason-Dixon Polling & Research Inc.,0,1,2.732595359,0
1992,Pennsylvania,1992PAYeakel,46.33019671,891,-10,320.0,Millersville University,0,1,2.732595359,0
1992,Missouri,1992MORothman-Serot,44.9257195,480,-52,163.0,St. Louis Post-Dispatch,0,1,1.90181394,0
1992,Illinois,1992ILWilliamson,43.05715208,1000,-54,240.0,Market Shares Corp.,1,0,2.845729828,0
1992,Wisconsin,1992WIKasten,46.00985531,800,-50,304.0,Mason-Dixon Polling & Research Inc.,1,0,5.71757543,1
1992,North Carolina,1992NCFaircloth,50.34704726,818,-8,302.0,Mason-Dixon Polling & Research Inc.,1,0,-4.257897135,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,775,-31,356.0,Market Shares Corp.,0,1,2.845729828,1
1992,New Hampshire,1992NHGregg,48.14427601,808,-64,355.0,Mason-Dixon Polling & Research Inc.,1,0,-9.337984622999999,1
1992,Wisconsin,1992WIKasten,46.00985531,407,-40,134.0,St. Norbert College,1,0,5.71757543,1
1992,North Carolina,1992NCFaircloth,50.34704726,832,-191,316.0,Mason-Dixon Polling & Research Inc.,1,0,-4.257897135,0
1992,North Carolina,1992NCFaircloth,50.34704726,810,-272,243.0,Mason-Dixon Polling & Research Inc.,1,0,-4.257897135,0
1992,Washington,1992WAChandler,46.00811609,403,-20,145.0,Elway Research,1,0,4.7052270510000005,0
1992,North Carolina,1992NCSanford,46.31751304,818,-8,368.0,Mason-Dixon Polling & Research Inc.,0,1,-4.257897135,0
1992,Illinois,1992ILWilliamson,43.05715208,1000,-73,230.0,Market Shares Corp.,1,0,2.845729828,0
1992,Alaska,1992AKSmith,38.40618404,500,-34,170.0,Cromer Group,0,1,-8.265369492,0
1992,New Hampshire,1992NHRauh,45.3263069,808,-64,307.0,Mason-Dixon Polling & Research Inc.,0,1,-9.337984622999999,0
1992,New Hampshire,1992NHRauh,45.3263069,827,-319,264.0,Mason-Dixon Polling & Research Inc.,0,1,-9.337984622999999,0
1992,North Carolina,1992NCSanford,46.31751304,810,-272,413.0,Mason-Dixon Polling & Research Inc.,0,1,-4.257897135,0
1992,Oregon,1992ORAuCoin,46.49968424,600,-34,245.0,T-H Research,0,1,6.283532856,0
1992,North Carolina,1992NCSanford,46.31751304,609,-37,274.0,Raleigh News & Observer,0,1,-4.257897135,0
1992,Washington,1992WAMurray,53.99188391,600,-40,300.0,"Fairbank, Maslin, Maullin, Metz & Associates",0,1,4.7052270510000005,1
1992,Ohio,1992OHGlenn,50.88300143,2035,-64,997.0,Columbus Dispatch,0,1,-1.573305433,1
1992,Connecticut,1992CTJohnson,38.11771636,519,-35,160.0,University of Connecticut,1,0,1.313478054,0
1992,Ohio,1992OHDeWine,42.22424185,565,-18,237.0,University of Cincinnati (Ohio Poll),1,0,-1.573305433,1
1992,Kentucky,1992KYWilliams,35.81178458,584,-49,116.0,Louisville Courier-Journal,1,0,-1.9569284009999999,1
1992,Wisconsin,1992WIFeingold,52.57013495,503,-10,241.0,Garin-Hart-Yang Research Group,0,1,5.71757543,0
1992,South Dakota,1992SDDaschle,64.90231543,823,-259,518.0,Mason-Dixon Polling & Research Inc.,0,1,0.707783704,1
1992,Oregon,1992ORAuCoin,46.49968424,612,-12,263.0,T-H Research,0,1,6.283532856,0
1992,Florida,1992FLGraham,65.40458135,826,-158,446.0,Mason-Dixon Polling & Research Inc.,0,1,-7.351546057,1
1992,Oregon,1992ORAuCoin,46.49968424,600,-225,198.0,Moore Information,0,1,6.283532856,0
1992,Georgia,1992GAFowler,49.35258706,812,-49,430.0,Mason-Dixon Polling & Research Inc.,0,1,-6.303308952,1
1992,Ohio,1992OHGlenn,50.88300143,629,-181,188.0,University of Akron,0,1,-1.573305433,1
1992,Pennsylvania,1992PASpecter,49.10295039,600,-30,282.0,Hickman Analytics,1,0,2.732595359,1
1992,Ohio,1992OHGlenn,50.88300143,800,-142,384.0,Tarrance Group,0,1,-1.573305433,1
1992,Ohio,1992OHGlenn,50.88300143,500,-37,240.0,Public Opinion Strategies,0,1,-1.573305433,1
1992,Oregon,1992ORPackwood,52.13937456,600,-126,276.0,Moore Information,1,0,6.283532856,1
1992,Wisconsin,1992WIKasten,46.00985531,400,-19,115.0,Chamberlain Research,1,0,5.71757543,1
1992,New Hampshire,1992NHGregg,48.14427601,434,-55,177.0,University of New Hampshire,1,0,-9.337984622999999,1
1992,South Carolina,1992SCHartnett,46.94655713,824,-119,247.0,Mason-Dixon Polling & Research Inc.,1,0,-8.172851311,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,1000,-17,500.0,Chicago Tribune,0,1,2.845729828,1
1992,North Dakota,1992NDDorgan,59.00406965,502,-28,326.0,University of North Dakota,0,1,-2.697757213,1
1992,North Carolina,1992NCFaircloth,50.34704726,803,-74,289.0,Mason-Dixon Polling & Research Inc.,1,0,-4.257897135,0
1992,Indiana,1992INHogsett,40.70441426,686,-62,192.0,Hill Research Consultants,0,1,-6.224373723999999,0
1992,New Hampshire,1992NHGregg,48.14427601,521,-13,197.0,University of New Hampshire,1,0,-9.337984622999999,1
1992,California,1992CAHerschensohn,43.00286776,819,-61,286.0,Mason-Dixon Polling & Research Inc.,1,0,2.0895084930000003,0
1992,Utah,1992UTBennett,55.38307587,610,-35,347.0,Dan Jones & Associates,1,0,-13.4875715,0
1992,Pennsylvania,1992PASpecter,49.10295039,825,-7,363.0,Mason-Dixon Polling & Research Inc.,1,0,2.732595359,1
1992,Arizona,1992AZMecham,10.51777395,410,-66,41.0,Arizona State University,0,0,-6.847567197999999,0
1992,Arizona,1992AZSargent,31.57054262,705,-213,197.0,Behavior Research Center (Rocky Mountain),0,1,-6.847567197999999,0
1992,Washington,1992WAMurray,53.99188391,300,-36,162.0,Bellevue Journal American,0,1,4.7052270510000005,1
1992,North Carolina,1992NCSanford,46.31751304,834,-109,458.0,Mason-Dixon Polling & Research Inc.,0,1,-4.257897135,0
1992,Arizona,1992AZSargent,31.57054262,500,-44,180.0,Behavior Research Center (Rocky Mountain),0,1,-6.847567197999999,0
1992,Washington,1992WAChandler,46.00811609,600,-40,198.0,"Fairbank, Maslin, Maullin, Metz & Associates",1,0,4.7052270510000005,0
1992,Washington,1992WAMurray,53.99188391,600,-8,288.0,Evans/McDonough,0,1,4.7052270510000005,1
1992,South Carolina,1992SCHollings,50.06870331,500,-71,215.0,McLaughlin & Associates,0,1,-8.172851311,1
1992,Illinois,1992ILWilliamson,43.05715208,817,-59,196.0,Mason-Dixon Polling & Research Inc.,1,0,2.845729828,0
1992,Indiana,1992INCoats,57.33730181,686,-62,418.0,Hill Research Consultants,1,0,-6.224373723999999,1
1992,Idaho,1992IDKempthorne,56.52153924,600,-146,288.0,Tarrance Group,1,0,-9.39061401,1
1992,Missouri,1992MOBond,51.88704523,835,-103,392.0,Mason-Dixon Polling & Research Inc.,1,0,1.90181394,1
1992,Indiana,1992INCoats,57.33730181,827,-190,438.0,Mason-Dixon Polling & Research Inc.,1,0,-6.224373723999999,1
1992,Missouri,1992MOBond,51.88704523,510,-15,224.0,Prell Org.,1,0,1.90181394,1
1992,Connecticut,1992CTJohnson,38.11771636,616,-92,117.0,Quinnipiac University,1,0,1.313478054,0
1992,North Dakota,1992NDConrad,63.22048117,410,-40,291.0,KTHI-TV,0,1,-2.697757213,1
1992,Nevada,1992NVReid,51.04993678,400,-62,204.0,Public Opinion Strategies,0,1,-6.920148516,1
1992,Ohio,1992OHGlenn,50.88300143,565,-18,282.0,University of Cincinnati (Ohio Poll),0,1,-1.573305433,1
1992,Kentucky,1992KYWilliams,35.81178458,809,-41,153.0,Mason-Dixon Polling & Research Inc.,1,0,-1.9569284009999999,1
1992,Colorado,1992COCampbell,51.77676322,496,-161,252.0,Talmey-Drake Research & Strategy Inc.,0,1,-0.057461639,1
1992,Oklahoma,1992OKLewis,38.19076144,811,-249,202.0,Mason-Dixon Polling & Research Inc.,0,1,-4.493088817,0
1992,Arizona,1992AZMcCain,55.81523403,500,-44,270.0,Behavior Research Center (Rocky Mountain),1,0,-6.847567197999999,1
1992,Illinois,1992ILMoseley-Braun,53.26851107,730,-22,357.0,Market Shares Corp.,0,1,2.845729828,1
1992,Pennsylvania,1992PASpecter,49.10295039,829,-197,389.0,Mason-Dixon Polling & Research Inc.,1,0,2.732595359,1
1992,Colorado,1992COConsidine,42.70422582,451,-50,175.0,Ciruli Associates,1,0,-0.057461639,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,823,-125,452.0,Mason-Dixon Polling & Research Inc.,0,1,2.845729828,1
1992,Indiana,1992INCoats,57.33730181,445,-330,218.0,Bill Schreiber,1,0,-6.224373723999999,1
1992,Wisconsin,1992WIKasten,46.00985531,503,-10,206.0,Garin-Hart-Yang Research Group,1,0,5.71757543,1
1992,North Dakota,1992NDDorgan,59.00406965,410,-40,241.0,KTHI-TV,0,1,-2.697757213,1
1992,New York,1992NYD'Amato,49.03358598,500,-355,155.0,Johnson Survey Research,1,0,5.965985317,1
1992,South Carolina,1992SCHartnett,46.94655713,466,-38,181.0,KPC Research,1,0,-8.172851311,0
1992,Colorado,1992COConsidine,42.70422582,501,-106,130.0,Talmey-Drake Research & Strategy Inc.,1,0,-0.057461639,0
1992,Wisconsin,1992WIFeingold,52.57013495,407,-40,219.0,St. Norbert College,0,1,5.71757543,0
1992,New York,1992NYD'Amato,49.03358598,1213,-10,424.0,CBS News/New York Times,1,0,5.965985317,1
1992,Indiana,1992INHogsett,40.70441426,803,-30,289.0,Indianapolis Star,0,1,-6.224373723999999,0
1992,North Carolina,1992NCFaircloth,50.34704726,400,-18,144.0,Charlotte Observer,1,0,-4.257897135,0
1992,Washington,1992WAChandler,46.00811609,451,-45,153.0,Elway Research,1,0,4.7052270510000005,0
1992,Illinois,1992ILMoseley-Braun,53.26851107,575,-26,293.0,WCIA-TV,0,1,2.845729828,1
1992,Pennsylvania,1992PASpecter,49.10295039,824,-130,412.0,Mason-Dixon Polling & Research Inc.,1,0,2.732595359,1
1992,Wisconsin,1992WIFeingold,52.57013495,400,-55,227.0,Milwaukee Journal-Sentinel,0,1,5.71757543,0
1992,Kentucky,1992KYFord,62.88334293,584,-49,379.0,Louisville Courier-Journal,0,1,-1.9569284009999999,1
1992,New Hampshire,1992NHRauh,45.3263069,434,-55,143.0,University of New Hampshire,0,1,-9.337984622999999,0
1992,Connecticut,1992CTDodd,58.81013574,500,-131,260.0,University of Connecticut,0,1,1.313478054,1
1992,South Carolina,1992SCHartnett,46.94655713,500,-71,165.0,McLaughlin & Associates,1,0,-8.172851311,0
1992,Iowa,1992IAGrassley,69.61432703,829,-123,505.0,Mason-Dixon Polling & Research Inc.,1,0,9.043853022999999,1
1992,Oregon,1992ORPackwood,52.13937456,600,-218,245.0,Griggs-Anderson Research,1,0,6.283532856,1
1992,California,1992CABoxer,47.90378958,1106,-9,486.0,Field Research Corp. (Field Poll),0,1,2.0895084930000003,1
1992,Alabama,1992ALSellers,33.08501273,829,-42,149.0,Mason-Dixon Polling & Research Inc.,1,0,-5.851368454,0
