Var1,cycle,state,Candidateidentifier,Percentage_of_Vote_won_x,samplesize,daysLeft,numberSupport,pollster,Republican,Democrat,pollsteridx
13509,2018,Montana,2018MTRosendale,46.8,500,-2,210,"Harris Insights & Analytics",1,0,1
13510,2018,Michigan,2018MIStabenow,52.3,701,-3,371,"Mitchell Research & Communications",0,1,1
13511,2018,Michigan,2018MIJames,45.8,701,-3,322,"Mitchell Research & Communications",1,0,1
13512,2018,Florida,2018FLNelson,50.1,3088,-3,1540,"St. Pete Polls",0,1,1
13513,2018,Florida,2018FLScott,49.9,3088,-3,1426,"St. Pete Polls",1,0,1
13514,2018,Pennsylvania,2018PACasey,55.7,1833,-3,934,"Change Research",0,1,1
13515,2018,Pennsylvania,2018PABarletta,42.6,1833,-3,806,"Change Research",1,0,1
13516,2018,Wyoming,2018WYTrauner,30.1,858,-3,265,"Change Research",0,1,1
13517,2018,Wyoming,2018WYBarrasso,67.1,858,-3,514,"Change Research",1,0,1
13518,2018,Montana,2018MTTester,50.3,879,-3,404,"Change Research",0,1,1
13519,2018,Montana,2018MTRosendale,46.8,879,-3,430,"Change Research",1,0,1
13520,2018,New Jersey,2018NJMenendez,54,1006,-3,513,"Change Research",0,1,1
13521,2018,New Jersey,2018NJHugin,42.8,1006,-3,412,"Change Research",1,0,1
13522,2018,California,2018CAFeinstein,54.2,1108,-3,465,"Change Research",0,1,1
13523,2018,California,2018CAde Leon,45.8,1108,-3,354,"Change Research",0,1,1
13524,2018,Minnesota,2018MNKlobuchar,60.3,953,-3,524,"Change Research",0,1,1
13525,2018,Minnesota,2018MNNewberger,36.2,953,-3,381,"Change Research",1,0,1
13526,2018,Arizona,2018AZSinema,50,600,-3,283,"Harris Insights & Analytics",0,1,1
13527,2018,Arizona,2018AZMcSally,47.6,600,-3,278,"Harris Insights & Analytics",1,0,1
13528,2018,Florida,2018FLNelson,50.1,600,-3,271,"Harris Insights & Analytics",0,1,1
13529,2018,Florida,2018FLScott,49.9,600,-3,294,"Harris Insights & Analytics",1,0,1
13530,2018,Nevada,2018NVRosen,50.4,600,-3,274,"Harris Insights & Analytics",0,1,1
13531,2018,Nevada,2018NVHeller,45.4,600,-3,277,"Harris Insights & Analytics",1,0,1
13532,2018,Mississippi,2018MSBaria,39.5,1003,-3,401,"Change Research",0,1,1
13533,2018,Mississippi,2018MSWicker,58.5,1003,-3,481,"Change Research",1,0,1
13534,2018,Indiana,2018INDonnelly,45,600,-3,259,"Harris Insights & Analytics",0,1,1
13535,2018,Indiana,2018INBraun,50.9,600,-3,243,"Harris Insights & Analytics",1,0,1
13536,2018,Missouri,2018MOMcCaskill,45.6,600,-3,266,"Harris Insights & Analytics",0,1,1
13537,2018,Missouri,2018MOHawley,51.4,600,-3,280,"Harris Insights & Analytics",1,0,1
13538,2018,Michigan,2018MIStabenow,52.3,880,-3,431,"Change Research",0,1,1
13539,2018,Michigan,2018MIJames,45.8,880,-3,413,"Change Research",1,0,1
13540,2018,Ohio,2018OHBrown,53.4,923,-3,489,"Change Research",0,1,1
13541,2018,Ohio,2018OHRenacci,46.6,923,-3,396,"Change Research",1,0,1
13542,2018,Nevada,2018NVRosen,50.4,1197,-3,587,"Emerson College",0,1,1
13543,2018,Nevada,2018NVHeller,45.4,1197,-3,533,"Emerson College",1,0,1
13544,2018,Montana,2018MTTester,50.3,500,-3,242,"Harris Insights & Analytics",0,1,1
13545,2018,Montana,2018MTRosendale,46.8,500,-3,215,"Harris Insights & Analytics",1,0,1
13546,2018,Missouri,2018MOMcCaskill,45.6,1791,-3,795,"Trafalgar Group",0,1,1
13547,2018,Missouri,2018MOHawley,51.4,1791,-3,865,"Trafalgar Group",1,0,1
13548,2018,Florida,2018FLNelson,50.1,1142,-3,582,"Quinnipiac University",0,1,1
13549,2018,Florida,2018FLScott,49.9,1142,-3,502,"Quinnipiac University",1,0,1
13550,2018,New Jersey,2018NJMenendez,54,1115,-3,613,"Quinnipiac University",0,1,1
13551,2018,New Jersey,2018NJHugin,42.8,1115,-3,446,"Quinnipiac University",1,0,1
13552,2018,Arizona,2018AZSinema,50,631,-4,302,"OH Predictive Insights/MBQF",0,1,1
13553,2018,Arizona,2018AZMcSally,47.6,631,-4,309,"OH Predictive Insights/MBQF",1,0,1
13554,2018,California,2018CAFeinstein,54.2,450,-4,211,"Research Co.",0,1,1
13555,2018,California,2018CAde Leon,45.8,450,-4,126,"Research Co.",0,1,1
13556,2018,Michigan,2018MIStabenow,52.3,450,-4,234,"Research Co.",0,1,1
13557,2018,Michigan,2018MIJames,45.8,450,-4,162,"Research Co.",1,0,1
13558,2018,Minnesota,2018MNKlobuchar,60.3,450,-4,238,"Research Co.",0,1,1
13559,2018,Minnesota,2018MNNewberger,36.2,450,-4,148,"Research Co.",1,0,1
13560,2018,New York,2018NYGillibrand,67,450,-4,270,"Research Co.",0,1,1
13561,2018,New York,2018NYFarley,33,450,-4,144,"Research Co.",1,0,1
13562,2018,Pennsylvania,2018PACasey,55.7,450,-4,252,"Research Co.",0,1,1
13563,2018,Pennsylvania,2018PABarletta,42.6,450,-4,175,"Research Co.",1,0,1
13564,2018,Arizona,2018AZSinema,50,600,-4,273,"Harris Insights & Analytics",0,1,1
13565,2018,Arizona,2018AZMcSally,47.6,600,-4,286,"Harris Insights & Analytics",1,0,1
13566,2018,Florida,2018FLNelson,50.1,600,-4,272,"Harris Insights & Analytics",0,1,1
13567,2018,Florida,2018FLScott,49.9,600,-4,282,"Harris Insights & Analytics",1,0,1
13568,2018,Nevada,2018NVRosen,50.4,600,-4,267,"Harris Insights & Analytics",0,1,1
13569,2018,Nevada,2018NVHeller,45.4,600,-4,278,"Harris Insights & Analytics",1,0,1
13570,2018,Indiana,2018INDonnelly,45,600,-4,255,"Harris Insights & Analytics",0,1,1
13571,2018,Indiana,2018INBraun,50.9,600,-4,254,"Harris Insights & Analytics",1,0,1
13572,2018,Missouri,2018MOMcCaskill,45.6,600,-4,276,"Harris Insights & Analytics",0,1,1
13573,2018,Missouri,2018MOHawley,51.4,600,-4,276,"Harris Insights & Analytics",1,0,1
13574,2018,Arizona,2018AZSinema,50,758,-4,367,"Emerson College",0,1,1
13575,2018,Arizona,2018AZMcSally,47.6,758,-4,362,"Emerson College",1,0,1
13576,2018,Florida,2018FLNelson,50.1,784,-4,391,"Emerson College",0,1,1
13577,2018,Florida,2018FLScott,49.9,784,-4,352,"Emerson College",1,0,1
13578,2018,Missouri,2018MOMcCaskill,45.6,732,-4,333,"Emerson College",0,1,1
13579,2018,Missouri,2018MOHawley,51.4,732,-4,358,"Emerson College",1,0,1
13580,2018,Arizona,2018AZSinema,50,450,-4,202,"Research Co.",0,1,1
13581,2018,Arizona,2018AZMcSally,47.6,450,-4,198,"Research Co.",1,0,1
13582,2018,Florida,2018FLNelson,50.1,450,-4,211,"Research Co.",0,1,1
13583,2018,Florida,2018FLScott,49.9,450,-4,207,"Research Co.",1,0,1
13584,2018,New Mexico,2018NMHeinrich,54.1,450,-4,211,"Research Co.",0,1,1
13585,2018,New Mexico,2018NMRich,30.5,450,-4,148,"Research Co.",1,0,1
13586,2018,New Mexico,2018NMJohnson,15.4,450,-4,49,"Research Co.",1,0,1
13587,2018,Ohio,2018OHBrown,53.4,450,-4,238,"Research Co.",0,1,1
13588,2018,Ohio,2018OHRenacci,46.6,450,-4,175,"Research Co.",1,0,1
13589,2018,Wisconsin,2018WIBaldwin,55.4,450,-4,225,"Research Co.",0,1,1
13590,2018,Wisconsin,2018WIVukmir,44.6,450,-4,175,"Research Co.",1,0,1
13591,2018,Montana,2018MTTester,50.3,500,-4,246,"Harris Insights & Analytics",0,1,1
13592,2018,Montana,2018MTRosendale,46.8,500,-4,215,"Harris Insights & Analytics",1,0,1
13593,2018,Missouri,2018MOMcCaskill,45.6,1424,-5,669,"Remington Research Group",0,1,1
13594,2018,Missouri,2018MOHawley,51.4,1424,-5,669,"Remington Research Group",1,0,1
13595,2018,Florida,2018FLNelson,50.1,1236,-5,618,"Change Research",0,1,1
13596,2018,Florida,2018FLScott,49.9,1236,-5,593,"Change Research",1,0,1
13597,2018,Texas,2018TXO'Rourke,48.3,1211,-5,593,"Change Research",0,1,1
13598,2018,Texas,2018TXCruz,50.9,1211,-5,593,"Change Research",1,0,1
13599,2018,Florida,2018FLNelson,50.1,2733,-5,1298,"St. Pete Polls",0,1,1
13600,2018,Florida,2018FLScott,49.9,2733,-5,1341,"St. Pete Polls",1,0,1
13601,2018,California,2018CAFeinstein,54.2,806,-5,403,"SurveyUSA",0,1,1
13602,2018,California,2018CAde Leon,45.8,806,-5,290,"SurveyUSA",0,1,1
13603,2018,Arizona,2018AZSinema,50,600,-5,261,"Harris Insights & Analytics",0,1,1
13604,2018,Arizona,2018AZMcSally,47.6,600,-5,294,"Harris Insights & Analytics",1,0,1
13605,2018,Florida,2018FLNelson,50.1,600,-5,273,"Harris Insights & Analytics",0,1,1
13606,2018,Florida,2018FLScott,49.9,600,-5,288,"Harris Insights & Analytics",1,0,1
13607,2018,Nevada,2018NVRosen,50.4,600,-5,266,"Harris Insights & Analytics",0,1,1
13608,2018,Nevada,2018NVHeller,45.4,600,-5,271,"Harris Insights & Analytics",1,0,1
13609,2018,Indiana,2018INDonnelly,45,600,-5,266,"Harris Insights & Analytics",0,1,1
13610,2018,Indiana,2018INBraun,50.9,600,-5,252,"Harris Insights & Analytics",1,0,1
13611,2018,Missouri,2018MOMcCaskill,45.6,600,-5,271,"Harris Insights & Analytics",0,1,1
13612,2018,Missouri,2018MOHawley,51.4,600,-5,277,"Harris Insights & Analytics",1,0,1
13613,2018,Florida,2018FLNelson,50.1,595,-5,297,"Marist College",0,1,1
13614,2018,Florida,2018FLScott,49.9,595,-5,273,"Marist College",1,0,1
13615,2018,Florida,2018FLNelson,50.1,917,-5,458,"Marist College",0,1,1
13616,2018,Florida,2018FLScott,49.9,917,-5,412,"Marist College",1,0,1
13617,2018,Montana,2018MTTester,50.3,500,-5,247,"Harris Insights & Analytics",0,1,1
13618,2018,Montana,2018MTRosendale,46.8,500,-5,209,"Harris Insights & Analytics",1,0,1
13619,2018,Florida,2018FLNelson,50.1,753,-5,376,"Gravis Marketing",0,1,1
13620,2018,Florida,2018FLScott,49.9,753,-5,353,"Gravis Marketing",1,0,1
13621,2018,Arizona,2018AZSinema,50,1165,-5,535,"Gravis Marketing",0,1,1
13622,2018,Arizona,2018AZMcSally,47.6,1165,-5,547,"Gravis Marketing",1,0,1
13623,2018,New Mexico,2018NMHeinrich,54.1,1202,-6,609,"Carroll Strategies",0,1,1
13624,2018,New Mexico,2018NMRich,30.5,1202,-6,455,"Carroll Strategies",1,0,1
13625,2018,New Mexico,2018NMJohnson,15.4,1202,-6,100,"Carroll Strategies",1,0,1
13626,2018,Connecticut,2018CTMurphy,59.5,681,-6,394,"Gravis Marketing",0,1,1
13627,2018,Connecticut,2018CTCorey,39.4,681,-6,238,"Gravis Marketing",1,0,1
13628,2018,Vermont,2018VTZupan,27.5,885,-6,265,"Gravis Marketing",1,0,1
13629,2018,Vermont,2018VTSanders,67.4,885,-6,584,"Gravis Marketing",1,0,1
13630,2018,Arizona,2018AZSinema,50,600,-6,250,"Harris Insights & Analytics",0,1,1
13631,2018,Arizona,2018AZMcSally,47.6,600,-6,290,"Harris Insights & Analytics",1,0,1
13632,2018,Florida,2018FLNelson,50.1,600,-6,267,"Harris Insights & Analytics",0,1,1
13633,2018,Florida,2018FLScott,49.9,600,-6,297,"Harris Insights & Analytics",1,0,1
13634,2018,Nevada,2018NVRosen,50.4,600,-6,259,"Harris Insights & Analytics",0,1,1
13635,2018,Nevada,2018NVHeller,45.4,600,-6,276,"Harris Insights & Analytics",1,0,1
13636,2018,Indiana,2018INDonnelly,45,600,-6,256,"Harris Insights & Analytics",0,1,1
13637,2018,Indiana,2018INBraun,50.9,600,-6,258,"Harris Insights & Analytics",1,0,1
13638,2018,Missouri,2018MOMcCaskill,45.6,600,-6,274,"Harris Insights & Analytics",0,1,1
13639,2018,Missouri,2018MOHawley,51.4,600,-6,259,"Harris Insights & Analytics",1,0,1
13640,2018,Arizona,2018AZSinema,50,2166,-6,1078,"Trafalgar Group",0,1,1
13641,2018,Arizona,2018AZMcSally,47.6,2166,-6,1020,"Trafalgar Group",1,0,1
13642,2018,Missouri,2018MOMcCaskill,45.6,600,-6,300,"Marist College",0,1,1
13643,2018,Missouri,2018MOHawley,51.4,600,-6,282,"Marist College",1,0,1
13644,2018,Missouri,2018MOMcCaskill,45.6,920,-6,460,"Marist College",0,1,1
13645,2018,Missouri,2018MOHawley,51.4,920,-6,423,"Marist College",1,0,1
13646,2018,Missouri,2018MOMcCaskill,45.6,600,-6,282,"Marist College",0,1,1
13647,2018,Missouri,2018MOHawley,51.4,600,-6,264,"Marist College",1,0,1
13648,2018,Missouri,2018MOMcCaskill,45.6,920,-6,423,"Marist College",0,1,1
13649,2018,Missouri,2018MOHawley,51.4,920,-6,395,"Marist College",1,0,1
13650,2018,Nevada,2018NVRosen,50.4,2587,-6,1179,"Trafalgar Group",0,1,1
13651,2018,Nevada,2018NVHeller,45.4,2587,-6,1265,"Trafalgar Group",1,0,1
13652,2018,Pennsylvania,2018PACasey,55.7,421,-6,227,"Muhlenberg College",0,1,1
13653,2018,Pennsylvania,2018PABarletta,42.6,421,-6,168,"Muhlenberg College",1,0,1
13654,2018,Montana,2018MTTester,50.3,500,-6,244,"Harris Insights & Analytics",0,1,1
13655,2018,Montana,2018MTRosendale,46.8,500,-6,211,"Harris Insights & Analytics",1,0,1
13656,2018,New York,2018NYGillibrand,67,641,-6,371,"Siena College",0,1,1
13657,2018,New York,2018NYFarley,33,641,-6,224,"Siena College",1,0,1
13658,2018,New Mexico,2018NMHeinrich,54.1,993,-6,506,"Research & Polling Inc.",0,1,1
13659,2018,New Mexico,2018NMRich,30.5,993,-6,307,"Research & Polling Inc.",1,0,1
13660,2018,New Mexico,2018NMJohnson,15.4,993,-6,119,"Research & Polling Inc.",1,0,1
13661,2018,Florida,2018FLNelson,50.1,2470,-7,1217,"St. Pete Polls",0,1,1
13662,2018,Florida,2018FLScott,49.9,2470,-7,1170,"St. Pete Polls",1,0,1
13663,2018,Ohio,2018OHBrown,53.4,503,-7,263,"Cygnal",0,1,1
13664,2018,Ohio,2018OHRenacci,46.6,503,-7,211,"Cygnal",1,0,1
13665,2018,Arizona,2018AZSinema,50,600,-7,249,"Harris Insights & Analytics",0,1,1
13666,2018,Arizona,2018AZMcSally,47.6,600,-7,291,"Harris Insights & Analytics",1,0,1
13667,2018,Florida,2018FLNelson,50.1,600,-7,270,"Harris Insights & Analytics",0,1,1
13668,2018,Florida,2018FLScott,49.9,600,-7,289,"Harris Insights & Analytics",1,0,1
13669,2018,Nevada,2018NVRosen,50.4,600,-7,270,"Harris Insights & Analytics",0,1,1
13670,2018,Nevada,2018NVHeller,45.4,600,-7,269,"Harris Insights & Analytics",1,0,1
13671,2018,Minnesota,2018MNKlobuchar,60.3,600,-7,342,"SurveyUSA",0,1,1
13672,2018,Minnesota,2018MNNewberger,36.2,600,-7,204,"SurveyUSA",1,0,1
13673,2018,Indiana,2018INDonnelly,45,600,-7,237,"Harris Insights & Analytics",0,1,1
13674,2018,Indiana,2018INBraun,50.9,600,-7,258,"Harris Insights & Analytics",1,0,1
13675,2018,Missouri,2018MOMcCaskill,45.6,600,-7,271,"Harris Insights & Analytics",0,1,1
13676,2018,Missouri,2018MOHawley,51.4,600,-7,260,"Harris Insights & Analytics",1,0,1
13677,2018,Wisconsin,2018WIBaldwin,55.4,604,-7,320,"Emerson College",0,1,1
13678,2018,Wisconsin,2018WIVukmir,44.6,604,-7,268,"Emerson College",1,0,1
13679,2018,West Virginia,2018WVManchin,49.6,1013,-7,479,"Emerson College",0,1,1
13680,2018,West Virginia,2018WVMorrisey,46.3,1013,-7,420,"Emerson College",1,0,1
13681,2018,Tennessee,2018TNBredesen,43.9,480,-7,235,"Targoz Market Research",0,1,1
13682,2018,Tennessee,2018TNBlackburn,54.7,480,-7,235,"Targoz Market Research",1,0,1
13683,2018,Florida,2018FLNelson,50.1,558,-7,251,"Targoz Market Research",0,1,1
13684,2018,Florida,2018FLScott,49.9,558,-7,273,"Targoz Market Research",1,0,1
13685,2018,Montana,2018MTTester,50.3,500,-7,242,"Harris Insights & Analytics",0,1,1
13686,2018,Montana,2018MTRosendale,46.8,500,-7,209,"Harris Insights & Analytics",1,0,1
13687,2018,New Jersey,2018NJMenendez,54,598,-7,306,"Stockton University",0,1,1
13688,2018,New Jersey,2018NJHugin,42.8,598,-7,235,"Stockton University",1,0,1
13689,2018,Michigan,2018MIStabenow,52.3,764,-8,412,"Gravis Marketing",0,1,1
13690,2018,Michigan,2018MIJames,45.8,764,-8,313,"Gravis Marketing",1,0,1
13691,2018,Florida,2018FLNelson,50.1,2543,-8,1256,"Trafalgar Group",0,1,1
13692,2018,Florida,2018FLScott,49.9,2543,-8,1200,"Trafalgar Group",1,0,1
13693,2018,Ohio,2018OHBrown,53.4,789,-8,362,"Gravis Marketing",0,1,1
13694,2018,Ohio,2018OHRenacci,46.6,789,-8,291,"Gravis Marketing",1,0,1
13695,2018,Texas,2018TXO'Rourke,48.3,781,-8,368,"Emerson College",0,1,1
13696,2018,Texas,2018TXCruz,50.9,781,-8,392,"Emerson College",1,0,1
13697,2018,Tennessee,2018TNBredesen,43.9,632,-8,275,"Emerson College",0,1,1
13698,2018,Tennessee,2018TNBlackburn,54.7,632,-8,328,"Emerson College",1,0,1
13699,2018,Tennessee,2018TNBredesen,43.9,718,-8,294,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13700,2018,Tennessee,2018TNBlackburn,54.7,718,-8,359,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13701,2018,Tennessee,2018TNBredesen,43.9,850,-8,340,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13702,2018,Tennessee,2018TNBlackburn,54.7,850,-8,408,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13703,2018,North Dakota,2018NDHeitkamp,55.5,789,-8,331,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13704,2018,North Dakota,2018NDCramer,44.5,789,-8,402,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13705,2018,North Dakota,2018NDHeitkamp,55.5,851,-8,357,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13706,2018,North Dakota,2018NDCramer,44.5,851,-8,416,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13707,2018,Indiana,2018INDonnelly,45,722,-8,324,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13708,2018,Indiana,2018INBraun,50.9,722,-8,274,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13709,2018,Indiana,2018INDonnelly,45,852,-8,357,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13710,2018,Indiana,2018INBraun,50.9,852,-8,323,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13711,2018,Missouri,2018MOMcCaskill,45.6,741,-8,333,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13712,2018,Missouri,2018MOHawley,51.4,741,-8,333,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13713,2018,Missouri,2018MOMcCaskill,45.6,851,-8,365,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13714,2018,Missouri,2018MOHawley,51.4,851,-8,374,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13715,2018,Missouri,2018MOMcCaskill,45.6,741,-8,318,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13716,2018,Missouri,2018MOHawley,51.4,741,-8,318,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13717,2018,Missouri,2018MOMcCaskill,45.6,851,-8,348,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13718,2018,Missouri,2018MOHawley,51.4,851,-8,357,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13719,2018,Arizona,2018AZSinema,50,677,-8,352,"Vox Populi Polling",0,1,1
13720,2018,Arizona,2018AZMcSally,47.6,677,-8,324,"Vox Populi Polling",1,0,1
13721,2018,Florida,2018FLNelson,50.1,696,-8,348,"Vox Populi Polling",0,1,1
13722,2018,Florida,2018FLScott,49.9,696,-8,348,"Vox Populi Polling",1,0,1
13723,2018,California,2018CAFeinstein,54.2,900,-8,368,"Probolsky Research",0,1,1
13724,2018,California,2018CAde Leon,45.8,900,-8,316,"Probolsky Research",0,1,1
13725,2018,Arizona,2018AZSinema,50,1400,-8,597,"Harris Insights & Analytics",0,1,1
13726,2018,Arizona,2018AZMcSally,47.6,1400,-8,665,"Harris Insights & Analytics",1,0,1
13727,2018,Florida,2018FLNelson,50.1,1400,-8,607,"Harris Insights & Analytics",0,1,1
13728,2018,Florida,2018FLScott,49.9,1400,-8,620,"Harris Insights & Analytics",1,0,1
13729,2018,Nevada,2018NVRosen,50.4,1400,-8,638,"Harris Insights & Analytics",0,1,1
13730,2018,Nevada,2018NVHeller,45.4,1400,-8,597,"Harris Insights & Analytics",1,0,1
13731,2018,Indiana,2018INDonnelly,45,1400,-8,582,"Harris Insights & Analytics",0,1,1
13732,2018,Indiana,2018INBraun,50.9,1400,-8,589,"Harris Insights & Analytics",1,0,1
13733,2018,Missouri,2018MOMcCaskill,45.6,1400,-8,644,"Harris Insights & Analytics",0,1,1
13734,2018,Missouri,2018MOHawley,51.4,1400,-8,617,"Harris Insights & Analytics",1,0,1
13735,2018,Montana,2018MTTester,50.3,700,-8,334,"Harris Insights & Analytics",0,1,1
13736,2018,Montana,2018MTRosendale,46.8,700,-8,280,"Harris Insights & Analytics",1,0,1
13737,2018,West Virginia,2018WVManchin,49.6,400,-8,180,"Research America Inc.",0,1,1
13738,2018,West Virginia,2018WVMorrisey,46.3,400,-8,160,"Research America Inc.",1,0,1
13739,2018,Tennessee,2018TNBredesen,43.9,780,-9,366,"Vox Populi Polling",0,1,1
13740,2018,Tennessee,2018TNBlackburn,54.7,780,-9,413,"Vox Populi Polling",1,0,1
13741,2018,New Jersey,2018NJMenendez,54,814,-9,439,"Vox Populi Polling",0,1,1
13742,2018,New Jersey,2018NJHugin,42.8,814,-9,374,"Vox Populi Polling",1,0,1
13743,2018,Connecticut,2018CTMurphy,59.5,780,-9,429,"Emerson College",0,1,1
13744,2018,Connecticut,2018CTCorey,39.4,780,-9,273,"Emerson College",1,0,1
13745,2018,Maine,2018MERingelstein,10.4,883,-9,51,"Emerson College",0,1,1
13746,2018,Maine,2018MEBrakey,35.2,883,-9,328,"Emerson College",1,0,1
13747,2018,Maine,2018MEKing,54.3,883,-9,445,"Emerson College",1,0,1
13748,2018,Florida,2018FLNelson,50.1,495,-9,247,"Cygnal",0,1,1
13749,2018,Florida,2018FLScott,49.9,495,-9,239,"Cygnal",1,0,1
13750,2018,Arizona,2018AZSinema,50,643,-9,295,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13751,2018,Arizona,2018AZMcSally,47.6,643,-9,295,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13752,2018,Arizona,2018AZSinema,50,710,-9,319,"Fox News/Beacon Research/Shaw & Co. Research",0,1,1
13753,2018,Arizona,2018AZMcSally,47.6,710,-9,312,"Fox News/Beacon Research/Shaw & Co. Research",1,0,1
13754,2018,Arizona,2018AZSinema,50,867,-9,416,"SSRS",0,1,1
13755,2018,Arizona,2018AZMcSally,47.6,867,-9,390,"SSRS",1,0,1
13756,2018,Arizona,2018AZSinema,50,702,-9,358,"SSRS",0,1,1
13757,2018,Arizona,2018AZMcSally,47.6,702,-9,329,"SSRS",1,0,1
13758,2018,Nevada,2018NVRosen,50.4,807,-9,355,"SSRS",0,1,1
13759,2018,Nevada,2018NVHeller,45.4,807,-9,330,"SSRS",1,0,1
13760,2018,Nevada,2018NVRosen,50.4,622,-9,298,"SSRS",0,1,1
13761,2018,Nevada,2018NVHeller,45.4,622,-9,279,"SSRS",1,0,1
13762,2018,Florida,2018FLNelson,50.1,887,-9,408,"SSRS",0,1,1
13763,2018,Florida,2018FLScott,49.9,887,-9,408,"SSRS",1,0,1
13764,2018,Florida,2018FLNelson,50.1,781,-9,382,"SSRS",0,1,1
13765,2018,Florida,2018FLScott,49.9,781,-9,367,"SSRS",1,0,1
13766,2018,Tennessee,2018TNBredesen,43.9,871,-9,400,"SSRS",0,1,1
13767,2018,Tennessee,2018TNBlackburn,54.7,871,-9,409,"SSRS",1,0,1
13768,2018,Tennessee,2018TNBredesen,43.9,764,-9,343,"SSRS",0,1,1
13769,2018,Tennessee,2018TNBlackburn,54.7,764,-9,374,"SSRS",1,0,1
13770,2018,Tennessee,2018TNBredesen,43.9,495,-9,217,"East Tennessee State University",0,1,1
13771,2018,Tennessee,2018TNBlackburn,54.7,495,-9,217,"East Tennessee State University",1,0,1
13772,2018,Arizona,2018AZSinema,50,400,-10,181,"HighGround Inc.",0,1,1
13773,2018,Arizona,2018AZMcSally,47.6,400,-10,186,"HighGround Inc.",1,0,1
13774,2018,Ohio,2018OHBrown,53.4,566,-10,276,"Emerson College",0,1,1
13775,2018,Ohio,2018OHRenacci,46.6,566,-10,243,"Emerson College",1,0,1
13776,2018,Florida,2018FLNelson,50.1,500,-10,225,"Suffolk University",0,1,1
13777,2018,Florida,2018FLScott,49.9,500,-10,216,"Suffolk University",1,0,1
13778,2018,Massachusetts,2018MAWarren,60.4,502,-10,271,"MassINC Polling Group",0,1,1
