cycle,state,pollster,samplesize,candidate_name,Candidateidentifier,daysLeft,numberSupport,Democrat,Republican,pvi,experienced,Percentage_of_Vote_won_x
2004,Hawaii,NA,1,Campbell Cavasso,2004HICavasso,1,0,0,1,8.7,1,21
2004,Vermont,NA,1,Patrick Leahy,2004VTLeahy,1,0,1,0,11.545,1,70.6
2004,Vermont,NA,1,Jack McMullen,2004VTMcMullen,1,0,0,1,11.545,0,24.5
2006,Hawaii,NA,1,Daniel Akaka,2006HIAkaka,1,0,1,0,8.7,1,61.4
2006,Hawaii,NA,1,Cynthia Thielen,2006HIThielen,1,0,0,1,8.7,1,36.8
2006,North Dakota,NA,1,Kent Conrad,2006NDConrad,1,0,1,0,-8.6411,1,68.8
2006,North Dakota,NA,1,Dwight Grotberg,2006NDGrotberg,1,0,0,1,-8.6411,0,29.5
2006,Minnesota,NA,1,Amy Klobuchar,2006MNKlobuchar,1,0,1,0,3.005,1,58.1
2006,Minnesota,NA,1,Mark Kennedy,2006MNKennedy,1,0,0,1,3.005,1,37.9
2012,Delaware,NA,1,Tom Carper,2012DETCarper,1,0,1,0,8.945,1,66.4
2012,Delaware,NA,1,Kevin Wade,2012DEWade,1,0,0,1,8.945,0,29
2012,Mississippi,NA,1,Albert N. Gore,2012MSGore,1,0,1,0,-8.683,0,40.6
2012,Mississippi,NA,1,Roger Wicker,2012MSWicker,1,0,0,1,-8.683,1,57.2
2012,Wyoming,NA,1,John Barrasso,2012WYBarrasso,1,0,0,1,-19.073,1,75.7
2012,Wyoming,NA,1,Tim Chesnut,2012WYChesnut,1,0,1,0,-19.073,0,21.6
2018,MinnesotaS,NA,1,Tina Smith,2018MNSmith,1,0,1,0,1.975,1,53
2018,MinnesotaS,NA,1,Karin Housley,2018MNHousley,1,0,0,1,1.975,1,42.4
2018,MississippiS,NA,1,Mike Espy,2018MSEspy,1,0,1,0,-7.7676,0,46.4
2018,MississippiS,NA,1,Cindy Hyde-Smith,2018MSSmith,1,0,0,1,-7.7676,1,53.6
2004,Wisconsin,NA,1,Russ Feingold,2004WIFeingold,1,0,1,0,1.4343,1,55.3
2004,Wisconsin,NA,1,Tim Michels,2004WIMichels,1,0,0,1,1.4343,0,44.1
1994,Mississippi,NA,1,Trent Lott,1994MSLott,1,0,0,1,-8.3805,1,68.8
1994,Mississippi,NA,1,Ken Harper,1994MSHarper,1,0,1,0,-8.3805,1,31.2
2002,Massachusetts,NA,1,John Kerry,2002MAKerry,1,0,1,0,13.9,1,80
2002,Massachusetts,NA,1,Michael Cloud,2002MACloud,1,0,0,0,13.9,0,18.4
2006,Mississippi,NA,1,Trent Lott,2006MSLott,1,0,0,1,-8.683,1,63.6
2006,Mississippi,NA,1,Erik R. Fleming,2006MSFleming,1,0,1,0,-8.683,1,34.9
2008,Arkansas,NA,1,Mark Pryor,2008Pryor,1,0,1,0,-13.868,1,79.5
2008,Arkansas,NA,1,Rebekah Kennedy,2008ARKennedy,1,0,0,0,-13.868,0,20.5
2012,Vermont,NA,1,Bernie Sanders,2012VTSanders,1,0,1,0,15.2,0,71
2012,Vermont,NA,1,John MacGovern,2012VTMacGovern,1,0,0,1,15.2,1,24.9
